Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.03     0.00       47     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...)
  0.00      0.03     0.00       47     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      0.03     0.00       47     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*)
  0.00      0.03     0.00       47     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.03     0.00       47     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char*>(char*, char*, std::__false_type)
  0.00      0.03     0.00       47     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<char*, void>(char*, char*, std::allocator<char> const&)
  0.00      0.03     0.00       47     0.00     0.00  std::__cxx11::to_string(int)
  0.00      0.03     0.00       47     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      0.03     0.00       47     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      0.03     0.00       47     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      0.03     0.00       47     0.00     0.00  operator<<(std::ostream&, testing&)
  0.00      0.03     0.00       46     0.00     0.00  std::_Deque_iterator<AVLTree<int*, std::less<int> >::Iterator::IteratorNodeData, AVLTree<int*, std::less<int> >::Iterator::IteratorNodeData&, AVLTree<int*, std::less<int> >::Iterator::IteratorNodeData*>::_S_buffer_size()
