Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.88     0.00       25     0.00     0.00  operator==(AVLTree<testing, Compare>::Iterator const&, AVLTree<testing, Compare>::Iterator const&)
  0.00      2.88     0.00       25     0.00     0.00  operator!=(AVLTree<testing, Compare>::Iterator const&, AVLTree<testing, Compare>::Iterator const&)
  0.00      2.88     0.00       24     0.00     0.00  void __gnu_cxx::new_allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData>::destroy<AVLTree<testing, Compare>::Iterator::IteratorNodeData>(AVLTree<testing, Compare>::Iterator::IteratorNodeData*)
  0.00      2.88     0.00       24     0.00     0.00  void __gnu_cxx::new_allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData>::construct<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData>(AVLTree<testing, Compare>::Iterator::IteratorNodeData*, AVLTree<testing, Compare>::Iterator::IteratorNodeData&&)
  0.00      2.88     0.00       24     0.00     0.00  AVLTree<testing, Compare>::sidewaysHelper(AVLTree<testing, Compare>::Node*, std::integral_constant<bool, false>) const
  0.00      2.88     0.00       24     0.00     0.00  void std::allocator_traits<std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> >::destroy<AVLTree<testing, Compare>::Iterator::IteratorNodeData>(std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData>&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*)
  0.00      2.88     0.00       24     0.00     0.00  void std::allocator_traits<std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> >::construct<AVLTree<testing, Compare>::Iterator::IteratorNodeData, AVLTree<testing, Compare>::Iterator::IteratorNodeData>(std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData>&, AVLTree<testing, Compare>::Iterator::IteratorNodeData*, AVLTree<testing, Compare>::Iterator::IteratorNodeData&&)
  0.00      2.88     0.00       24     0.00     0.00  void std::deque<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> >::emplace_back<AVLTree<testing, Compare>::Iterator::IteratorNodeData>(AVLTree<testing, Compare>::Iterator::IteratorNodeData&&)
  0.00      2.88     0.00       24     0.00     0.00  std::deque<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> >::pop_back()
  0.00      2.88     0.00       24     0.00     0.00  std::deque<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> >::push_back(AVLTree<testing, Compare>::Iterator::IteratorNodeData&&)
  0.00      2.88     0.00       24     0.00     0.00  std::stack<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::deque<AVLTree<testing, Compare>::Iterator::IteratorNodeData, std::allocator<AVLTree<testing, Compare>::Iterator::IteratorNodeData> > >::pop()
